area1,area2,area3,religion1,religion2,religion3
1,1,1,北海道,オホーツク,利尻・礼文
1,1,2,北海道,オホーツク,椎内周辺
1,1,3,北海道,オホーツク,枝幸周辺
1,1,4,北海道,オホーツク,紋別周辺
1,1,5,北海道,オホーツク,北見・遠軽
1,1,6,北海道,オホーツク,網走・斜里
1,2,1,北海道,道東,十勝北部
1,2,2,北海道,道東,帯広周辺
1,2,3,北海道,道東,広尾周辺
1,2,4,北海道,道東,釧路周辺
1,2,5,北海道,道東,根室・別海
1,2,6,北海道,道東,中標津・羅臼
1,3,1,北海道,道北,留萌周辺
1,3,2,北海道,道北,羽幌周辺
1,3,3,北海道,道北,天塩周辺
1,3,4,北海道,道北,名寄・士別
1,3,5,北海道,道北,旭川周辺
1,3,6,北海道,道北,幌加内周辺
1,4,1,北海道,道央,倶知安・寿都
1,4,2,北海道,道央,小山・今市
1,4,3,北海道,道央,札幌周辺
1,4,4,北海道,道央,岩見沢周辺
1,4,5,北海道,道央,滝川周辺
1,4,6,北海道,道央,深川周辺
1,5,1,北海道,日胆,室蘭・登別
1,5,2,北海道,日胆,苫小牧周辺
1,5,3,北海道,日胆,鵡川周辺
1,5,4,北海道,日胆,門別周辺
1,5,5,北海道,日胆,静内周辺
1,5,6,北海道,日胆,浦河周辺
1,6,1,北海道,道南,函館周辺
1,6,2,北海道,道南,松前・木古内
1,6,3,北海道,道南,江差周辺
1,6,4,北海道,道南,八雲・長万部
1,6,5,北海道,道南,瀬棚周辺
1,6,6,北海道,道南,奥尻島
2,1,1,東北,青森,むつ・下北
2,1,2,東北,青森,十和田・上北
2,1,3,東北,青森,八戸周辺
2,1,4,東北,青森,青森周辺
2,1,5,東北,青森,五所川原周辺
2,1,6,東北,青森,弘前周辺
2,2,1,東北,岩手,二戸・久慈
2,2,2,東北,岩手,盛岡周辺
2,2,3,東北,岩手,北上・花巻
2,2,4,東北,岩手,一関・平泉
2,2,5,東北,岩手,宮古周辺
2,2,6,東北,岩手,釜石・大船渡
2,3,1,東北,秋田,大館・鹿角
2,3,2,東北,秋田,能代周辺
2,3,3,東北,秋田,秋田・男鹿
2,3,4,東北,秋田,由利本荘
2,3,5,東北,秋田,大仙・仙北
2,3,6,東北,秋田,湯沢周辺
2,4,1,東北,宮城,気仙沼・本吉
2,4,2,東北,宮城,石巻周辺
2,4,3,東北,宮城,栗原・登米
2,4,4,東北,宮城,大崎周辺
2,4,5,東北,宮城,仙台周辺
2,4,6,東北,宮城,白石・角田
2,5,1,東北,山形,鶴岡周辺
2,5,2,東北,山形,坂田周辺
2,5,3,東北,山形,新庄・最上
2,5,4,東北,山形,山形・村山地域
2,5,5,東北,山形,米沢周辺
2,5,6,東北,山形,長井周辺
2,6,1,東北,福島,相馬・双葉
2,6,2,東北,福島,いわき
2,6,3,東北,福島,白河周辺
2,6,4,東北,福島,郡山周辺
2,6,5,東北,福島,福島周辺
2,6,6,東北,福島,会津・若松
3,1,1,関東甲信越・静岡,両毛,那須地域
3,1,2,関東甲信越・静岡,両毛,日光
3,1,3,関東甲信越・静岡,両毛,宇都宮・栃木
3,1,4,関東甲信越・静岡,両毛,高崎・前橋
3,1,5,関東甲信越・静岡,両毛,中之条・草津
3,1,6,関東甲信越・静岡,両毛,沼田・利根
3,2,1,関東甲信越・静岡,千葉・茨城,日立周辺
3,2,2,関東甲信越・静岡,千葉・茨城,水戸・鹿島
3,2,3,関東甲信越・静岡,千葉・茨城,つくば周辺
3,2,4,関東甲信越・静岡,千葉・茨城,千葉周辺
3,2,5,関東甲信越・静岡,千葉・茨城,銚子周辺
3,2,6,関東甲信越・静岡,千葉・茨城,館山周辺
3,3,1,関東甲信越・静岡,東京・埼玉,埼玉平野部
3,3,2,関東甲信越・静岡,東京・埼玉,秩父地域
3,3,3,関東甲信越・静岡,東京・埼玉,多摩地域
3,3,4,関東甲信越・静岡,東京・埼玉,東京23区
3,3,5,関東甲信越・静岡,東京・埼玉,大島〜御蔵島
3,3,6,関東甲信越・静岡,東京・埼玉,八丈島以南の島
3,4,1,関東甲信越・静岡,神奈川静岡,横浜・川崎
3,4,2,関東甲信越・静岡,神奈川静岡,相模・湘南
3,4,3,関東甲信越・静岡,神奈川静岡,伊豆半島
3,4,4,関東甲信越・静岡,神奈川静岡,富士・沼津
3,4,5,関東甲信越・静岡,神奈川静岡,静岡周辺
3,4,6,関東甲信越・静岡,神奈川静岡,浜松周辺
3,5,1,関東甲信越・静岡,甲信,大月・富士五湖
3,5,2,関東甲信越・静岡,甲信,甲府盆地
3,5,3,関東甲信越・静岡,甲信,南信地域
3,5,4,関東甲信越・静岡,甲信,松本・中信
3,5,5,関東甲信越・静岡,甲信,長野・北信
3,5,6,関東甲信越・静岡,甲信,東信地域
3,6,1,関東甲信越・静岡,新潟,新発田・村上
3,6,2,関東甲信越・静岡,新潟,新潟周辺
3,6,3,関東甲信越・静岡,新潟,長岡・柏崎
3,6,4,関東甲信越・静岡,新潟,魚沼地域
3,6,5,関東甲信越・静岡,新潟,上越・糸魚川
3,6,6,関東甲信越・静岡,新潟,佐渡島
4,1,1,東海・北陸・近畿,北陸,富山・黒部
4,1,2,東海・北陸・近畿,北陸,高岡・砺波
4,1,3,東海・北陸・近畿,北陸,能登半島
4,1,4,東海・北陸・近畿,北陸,金沢・加賀
4,1,5,東海・北陸・近畿,北陸,福井周辺
4,1,6,東海・北陸・近畿,北陸,大野・勝山
4,2,1,東海・北陸・近畿,愛知・岐阜,高山・飛騨
4,2,2,東海・北陸・近畿,愛知・岐阜,東濃・可茂
4,2,3,東海・北陸・近畿,愛知・岐阜,岐阜・大垣
4,2,4,東海・北陸・近畿,愛知・岐阜,名古屋・尾張
4,2,5,東海・北陸・近畿,愛知・岐阜,豊田・岡崎
4,2,6,東海・北陸・近畿,愛知・岐阜,豊橋・東三河
4,3,1,東海・北陸・近畿,紀勢,四日市・津
4,3,2,東海・北陸・近畿,紀勢,伊賀・名張
4,3,3,東海・北陸・近畿,紀勢,伊勢・志摩
4,3,4,東海・北陸・近畿,紀勢,尾鷲・熊野
4,3,5,東海・北陸・近畿,紀勢,白浜・新宮
4,3,6,東海・北陸・近畿,紀勢,和歌山周辺
4,4,1,東海・北陸・近畿,京滋嶺南,敦賀・若狭
4,4,2,東海・北陸・近畿,京滋嶺南,彦根・湖北
4,4,3,東海・北陸・近畿,京滋嶺南,大津・湖南
4,4,4,東海・北陸・近畿,京滋嶺南,京都・山城
4,4,5,東海・北陸・近畿,京滋嶺南,亀岡・福知山
4,4,6,東海・北陸・近畿,京滋嶺南,舞鶴・丹後半島
4,5,1,東海・北陸・近畿,阪奈,大阪・北摂
4,5,2,東海・北陸・近畿,阪奈,堺・泉州
4,5,3,東海・北陸・近畿,阪奈,河内地域
4,5,4,東海・北陸・近畿,阪奈,奈良周辺
4,5,5,東海・北陸・近畿,阪奈,橿原・高田
4,5,6,東海・北陸・近畿,阪奈,五條・吉野
4,6,1,東海・北陸・近畿,兵庫,神戸・阪神
4,6,2,東海・北陸・近畿,兵庫,明石・加古川
4,6,3,東海・北陸・近畿,兵庫,姫路周辺
4,6,4,東海・北陸・近畿,兵庫,丹波・篠山
4,6,5,東海・北陸・近畿,兵庫,城崎・但馬
4,6,6,東海・北陸・近畿,兵庫,淡路島
5,1,1,中国・四国,山陰,鳥取周辺
5,1,2,中国・四国,山陰,倉吉周辺
5,1,3,中国・四国,山陰,米子・境港
5,1,4,中国・四国,山陰,松江・出雲
5,1,5,中国・四国,山陰,石見地域
5,1,6,中国・四国,山陰,隠岐諸島
5,2,1,中国・四国,吉備,岡山周辺
5,2,2,中国・四国,吉備,津山・美作
5,2,3,中国・四国,吉備,倉敷周辺
5,2,4,中国・四国,吉備,福山・尾道
5,2,5,中国・四国,吉備,三次・庄原
5,2,6,中国・四国,吉備,高梁・新見
5,3,1,中国・四国,広島・山口,広島・呉
5,3,2,中国・四国,広島・山口,芸北地域
5,3,3,中国・四国,広島・山口,岩国・柳井
5,3,4,中国・四国,広島・山口,山口・周南
5,3,5,中国・四国,広島・山口,下関・宇部
5,3,6,中国・四国,広島・山口,萩・長門
5,4,1,中国・四国,香川・徳島,丸亀・観音寺
5,4,2,中国・四国,香川・徳島,高松・大川
5,4,3,中国・四国,香川・徳島,小豆島
5,4,4,中国・四国,香川・徳島,徳島周辺
5,4,5,中国・四国,香川・徳島,三好・美馬
5,4,6,中国・四国,香川・徳島,阿南・日和佐
5,5,1,中国・四国,愛媛,三島・川之江
5,5,2,中国・四国,愛媛,新居浜・西条
5,5,3,中国・四国,愛媛,今治・越智
5,5,4,中国・四国,愛媛,松山周辺
5,5,5,中国・四国,愛媛,大洲・八幡浜
5,5,6,中国・四国,愛媛,宇和島周辺
5,6,1,中国・四国,高知,安芸・室戸
5,6,2,中国・四国,高知,高知・南国
5,6,3,中国・四国,高知,高知県嶺北地域
5,6,4,中国・四国,高知,伊野・仁淀川
5,6,5,中国・四国,高知,須崎・窪川
5,6,6,中国・四国,高知,中村・宿毛
6,1,1,九州・沖縄,福岡・佐賀,北九州周辺
6,1,2,九州・沖縄,福岡・佐賀,筑豊地域
6,1,3,九州・沖縄,福岡・佐賀,福岡周辺
6,1,4,九州・沖縄,福岡・佐賀,久留米・筑後
6,1,5,九州・沖縄,福岡・佐賀,佐賀・武雄
6,1,6,九州・沖縄,福岡・佐賀,唐津・伊万里
6,2,1,九州・沖縄,長崎,島原半島
6,2,2,九州・沖縄,長崎,長崎・諫早
6,2,3,九州・沖縄,長崎,佐世保・平戸
6,2,4,九州・沖縄,長崎,五島列島
6,2,5,九州・沖縄,長崎,壱岐島
6,2,6,九州・沖縄,長崎,対馬
6,3,1,九州・沖縄,大分,中津周辺
6,3,2,九州・沖縄,大分,日田周辺
6,3,3,九州・沖縄,大分,別府・国東
6,3,4,九州・沖縄,大分,大分周辺
6,3,5,九州・沖縄,大分,竹田・三重
6,3,6,九州・沖縄,大分,佐伯
6,4,1,九州・沖縄,熊本・薩摩,阿蘇地域
6,4,2,九州・沖縄,熊本・薩摩,熊本・八代
6,4,3,九州・沖縄,熊本・薩摩,人吉・球磨
6,4,4,九州・沖縄,熊本・薩摩,天草諸島
6,4,5,九州・沖縄,熊本・薩摩,川内・北薩
6,4,6,九州・沖縄,熊本・薩摩,鹿児島・南薩
6,5,1,九州・沖縄,宮崎・大隅,延岡・日向
6,5,2,九州・沖縄,宮崎・大隅,宮崎周辺
6,5,3,九州・沖縄,宮崎・大隅,日南・串間
6,5,4,九州・沖縄,宮崎・大隅,都城・諸県
6,5,5,九州・沖縄,宮崎・大隅,霧島・姶良
6,5,6,九州・沖縄,宮崎・大隅,大隅半島
6,6,1,九州・沖縄,南西諸島,屋久島・種子島
6,6,2,九州・沖縄,南西諸島,奄美群島
6,6,3,九州・沖縄,南西諸島,名護・国頭
6,6,4,九州・沖縄,南西諸島,那覇・沖縄
6,6,5,九州・沖縄,南西諸島,宮古列島
6,6,6,九州・沖縄,南西諸島,八重山列島
